Employee_ID,Tasks_Assigned,Tasks_Completed,Avg_TAT_Hours,Error_Rate,Quality_Score,Escalations,Rework_Count,Experience_Years,Team,Shift,SLA_Status
EMP_6439,104,104,2.27,10.89,83.62,1,6,2.1,Support,Night,Met
EMP_8984,108,108,2.54,3.88,79.96,6,13,1.4,Ads,Day,Breached
EMP_8559,184,85,4.24,11.6,98.72,3,11,7.9,Ads,Night,Breached
EMP_559,119,119,,,,8,12,4.0,Support,Day,Breached
EMP_8376,139,139,5.13,8.3,88.55,6,14,7.4,Support,Day,Breached
EMP_8611,92,92,4.02,6.79,83.37,4,3,8.6,QA,Night,Met
EMP_3304,142,142,8.81,7.28,81.17,1,0,4.8,Ads,Day,Breached
EMP_1291,169,71,5.71,14.47,85.3,7,3,1.8,QA,Day,Breached
EMP_8670,106,106,4.74,2.59,90.02,1,5,7.6,Moderation,Day,Met
EMP_4301,181,169,4.3,12.5,66.6,4,12,5.0,QA,Day,Breached
EMP_1641,172,67,2.25,3.76,70.34,1,4,8.1,Moderation,Day,Breached
EMP_4244,100,100,5.43,6.41,90.37,3,3,6.1,QA,Day,Met
EMP_4664,167,151,3.32,7.32,93.24,7,9,5.2,Moderation,Day,Breached
EMP_1783,96,69,2.99,10.97,92.5,9,5,9.2,Moderation,Night,Breached
EMP_5561,191,112,,,,6,3,7.3,Support,Night,Breached
EMP_6864,153,153,6.89,14.29,82.05,0,4,2.4,QA,Night,Met
EMP_9682,105,105,4.77,13.28,86.76,8,6,1.5,QA,Day,Breached
EMP_9735,121,121,6.0,6.7,71.72,0,7,4.8,Moderation,Day,Met
EMP_5624,101,101,4.7,7.13,80.62,6,2,9.1,Ads,Night,Met
EMP_6447,177,134,5.73,4.04,90.21,2,12,3.1,Ads,Night,Met
EMP_1604,119,119,3.55,11.72,81.46,2,3,0.8,Moderation,Night,Met
EMP_4035,109,109,4.59,1.55,91.32,9,10,4.5,Ads,Day,Breached
EMP_2816,145,91,8.03,4.98,81.54,3,9,5.0,Support,Night,Breached
